Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,Has_Twitter,match_score,univ_Gender,univ_Country,univ_Party,univ_Position,univ_Branch,univ_Role,univ_YearTookOffice,univ_Status,univ_Region
Amira Mohamed Ali,Female,Germany,Sahra Wagenknecht Alliance,member of the German Bundestag,Legislative,2021,,Current,Amira_M_Ali,True,100.0,f,Germany,BSW,,Legislative,Bundestag,2021,Incumbent,
Amira Mohamed Ali,Female,Germany,Sahra Wagenknecht Alliance,member of the German Bundestag,Legislative,2017,2021,Former,Amira_M_Ali,True,100.0,f,Germany,BSW,,Legislative,Bundestag,2021,Incumbent,
Ana-Maria Trăsnea,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,,,Current,amtrasnea,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Previous,
Andrea Lindholz,Female,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,AndreaLindholz,True,100.0,f,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Andrea Lindholz,Female,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,AndreaLindholz,True,100.0,f,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Andrea Lindholz,Female,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,AndreaLindholz,True,100.0,f,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Andreas Audretsch,Male,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,AnAudretsch,True,100.0,m,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Andreas Audretsch,Male,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,AnAudretsch,True,100.0,m,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Andreas Bleck,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,andreasbleckmdb,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Andreas Bleck,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,andreasbleckmdb,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Andreas Bleck,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,andreasbleckmdb,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Andreas Jung,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,,False,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Andreas Jung,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,,False,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
